adc_blac_8_spinning_combined	0V	120V	240V	360V
87.084	0.038464963	0.079590723	0.114567305	0.131711141
87.33	0.046089091	0.092781185	0.130017217	0.146878191
87.576	0.060129241	0.111167828	0.147952501	0.154764975
87.822	0.06765393	0.126495933	0.162530102	0.152914479
88.068	0.076226435	0.139661394	0.165936404	0.152473001
88.314	0.09077862	0.151897627	0.170097756	0.142717155
88.56	0.099205678	0.147901527	0.15431322	0.137390533
88.806	0.103162447	0.146628525	0.147881	0.118726727
89.052	0.103932726	0.134325622	0.141394439	0.107190527
89.298	0.103388039	0.123839506	0.124534529	0.101488442
89.544	0.092969239	0.112094973	0.109896867	0.092359743
89.79	0.085575156	0.099075355	0.098977251	0.079996287
90.036	0.07670285	0.088666328	0.091143614	0.076606806
90.282	0.066989026	0.084568138	0.087448448	0.071356514
90.528	0.060786723	0.068808754	0.08034984	0.067527618
90.774	0.051242093	0.06679612	0.075810963	0.071014059
91.02	0.049241446	0.068014951	0.07797601	0.080320175
91.266	0.047868598	0.068992099	0.086061331	0.084704014
91.512	0.045606739	0.07855732	0.098399524	0.098610581
91.758	0.04821886	0.082474248	0.106670747	0.106982166
92.004	0.051641332	0.092070721	0.112728302	0.106123965
92.25	0.055780653	0.09915661	0.112499499	0.101443057
92.496	0.05753493	0.098964931	0.111813091	0.093172558
92.742	0.061769237	0.095166761	0.099923923	0.077396928
92.988	0.060461692	0.086978715	0.087428428	0.063554313
93.234	0.055985467	0.076971798	0.075699422	0.048453279
93.48	0.049953843	0.061097823	0.057215012	0.04018278
93.726	0.042120448	0.052632676	0.050122124	0.028706407
93.972	0.032495674	0.036275335	0.036705697	0.022278152
94.218	0.023656019	0.029793653	0.027256139	0.016656524
94.464	0.019412807	0.021663944	0.018930575	0.012173662
94.71	0.012879537	0.014207197	0.013476488	0.008528371
94.956	0.00946597	0.01085489	0.011545964	0.006475703
95.202	0.007230825	0.008138043	0.008125361	0.004284815
95.448	0.004047303	0.008160961	0.006366439	0.004247682
95.694	0.003906308	0.004735732	0.004538876	0.00358959
95.94	0.002716012	0.003660661	0.003429183	0.002415753
96.186	0.001923471	0.002616841	0.002811415	0.001499789
96.432	0.001436666	0.002091806	0.002316629	0.000845823
96.678	0.000872686	0.001689696	0.00160448	0.000825193
96.924	0.001096794	0.000879225	0.001152594	0.000239306
97.17	0.000621863	0.000818805	0.000729309	0.000129968
97.416	0.00040666	0.000427112	0.000317464	0.000334203
97.662	0.000240434	0.000383359	0.000254543	0.000328014
97.908	0.000152868	0.000308354	0.000437585	0.000175354
98.154	0.000160289	0	8.58011E-05	4.53856E-05
98.4	7.27238E-05	0.000137509	6.86409E-05	5.57005E-05
98.646	4.00723E-05	7.29215E-05	9.15211E-05	0
98.892	3.85881E-05	5.41703E-05	1.14401E-05	0
99.138	2.52307E-05	0	0	0
99.384	4.45248E-06	3.33356E-05	8.2941E-05	2.68188E-05
99.63	0	8.95893E-05	0	0
99.876	8.31129E-05	0	0	4.12597E-05
100.122	1.48416E-05	0	0	8.25193E-06
100.368	5.04614E-05	0	2.86004E-05	3.50707E-05
100.614	0	0	5.72007E-06	0
100.86	0	0	0	3.91967E-05
101.106	8.90496E-06	3.5419E-05	4.00405E-05	0
101.352	0	0	0	8.25193E-06
101.598	0	1.04174E-05	0	0
101.844	0	0	0	1.23779E-05
102.09	0	0	0	0
102.336	0	0	1.43002E-05	4.12597E-06
102.582	1.48416E-05	0	8.58011E-06	0
102.828	0	0	0	0
103.074	0	0	2.28803E-05	0
103.32	0	0	0	0
103.566	0	0	0	6.18895E-06
103.812	0	0	2.00202E-05	0
104.058	5.93664E-06	0	0	0
104.304	0	0	0	3.09447E-05
104.55	0	0	0	0
104.796	0	0	1.71602E-05	0
105.042	8.90496E-06	0	0	0
105.288	0	0	0	0
105.534	0	1.25008E-05	0	0
105.78	4.45248E-06	0	0	0
106.026	1.48416E-05	0	0	0
106.272	0	0	0	0
106.518	0	0	0	0
106.764	0	6.25042E-06	0	0
107.01	0	6.25042E-06	1.43002E-05	0
107.256	0	0	0	0
107.502	0	0	0	0
107.748	0	0	0	0
107.994	0	1.87513E-05	0	0
108.24	0	0	0	0
108.486	0	0	0	0
108.732	0	0	0	0
108.978	0	0	0	0
109.224	0	0	0	0
