Demo_data_1	0V	120V	240V	360V
101.352	7.68652E-05	0	0.001120723	0.000136974
101.598	7.13748E-05	0	0.000315203	0.000189656
101.844	0.000318442	0	0	0.000205461
102.09	8.23556E-05	0	0	0.000247607
102.336	0	0	0.000630407	0
102.582	9.33363E-05	0	0.000186787	0.000158047
102.828	0	0.000362857	3.50226E-05	0
103.074	9.33363E-05	0	0	0
103.32	0	0	0	3.16094E-05
103.566	0	0	0	0
103.812	6.58845E-05	0	0	0
104.058	0.000120788	0	0	1.58047E-05
104.304	2.74519E-05	0	0	0
104.55	0	0	0	0
104.796	0	0	0	0
105.042	2.19615E-05	0	0	0
105.288	0	0	0	0
105.534	5.49037E-05	0	0	0
105.78	0	0	0	0
106.026	1.64711E-05	0	0	0
106.272	0	0	0	0
106.518	0	0	0	0
106.764	0	0	0	0
107.01	0	0	0	0
107.256	1.64711E-05	0	0	0
107.502	0	0	0	0
107.748	0	0	5.8371E-05	0
107.994	0	0	0	0
108.24	0	0	0	0
108.486	2.19615E-05	0	0	0
108.732	0	0	0	0
108.978	1.64711E-05	0	0	0
109.224	0	0	0	0
